日期,最高气温,最低气温,天气
2023-01-01,8,5,阴
2023-01-02,12,6,雾
2023-01-03,11,6,多云
2023-01-04,10,6,雾
2023-01-05,14,2,多云
2023-01-06,16,5,多云
2023-01-07,13,7,多云
2023-01-08,13,6,多云
2023-01-09,13,8,多云
2023-01-10,12,9,多云
2023-01-11,10,9,雾
2023-01-12,16,9,多云
2023-01-13,13,5,多云
2023-01-14,6,3,阴
2023-01-15,6,1,多云
2023-01-16,4,2,阴
2023-01-17,6,0,多云
2023-01-18,10,0,多云
2023-01-19,11,2,多云
2023-01-20,11,3,多云
2023-01-21,7,3,多云
2023-01-22,12,4,多云
2023-01-23,12,0,多云
2023-01-24,7,0,多云
2023-01-25,9,3,多云
2023-01-26,11,1,多云
2023-01-27,13,0,雾
2023-01-28,14,1,晴
2023-01-29,16,2,多云
2023-01-30,16,3,多云
2023-01-31,17,6,多云
2023-02-01,16,7,多云
2023-02-02,18,7,多云
2023-02-03,16,8,多云
2023-02-04,18,8,多云
2023-02-05,12,8,小雨
2023-02-06,13,10,多云
2023-02-07,14,9,小雨
2023-02-08,12,8,阴
2023-02-09,16,9,雾
2023-02-10,16,9,多云
2023-02-11,13,10,小雨
2023-02-12,13,8,雾
2023-02-13,10,6,多云
2023-02-14,13,6,多云
2023-02-15,10,7,雾
2023-02-16,12,6,多云
2023-02-17,12,7,多云
2023-02-18,17,7,雾
2023-02-19,14,9,多云
2023-02-20,10,7,多云
2023-02-21,9,5,小雨
2023-02-22,9,6,阴
2023-02-23,14,8,雾
2023-02-24,20,10,多云
2023-02-25,19,11,多云
2023-02-26,19,12,雾
2023-02-27,15,11,多云
2023-02-28,16,11,多云
2023-03-01,18,9,多云~阴
2023-03-02,14,9,雾~多云
2023-03-03,21,9,雾~晴
2023-03-04,22,13,多云~晴
2023-03-05,23,14,多云~阴
2023-03-06,21,12,阴~小雨
2023-03-07,19,12,多云~小雨
2023-03-08,27,13,雾~多云
2023-03-09,25,15,多云~小雨
2023-03-10,24,13,雾~多云
2023-03-11,26,10,多云~小雨
2023-03-12,15,4,多云
2023-03-13,20,9,雾~晴
2023-03-14,19,12,雾~多云
2023-03-15,21,13,多云~阴
2023-03-16,23,12,多云
2023-03-17,18,13,多云~小雨
2023-03-18,17,12,多云~小雨
2023-03-19,18,12,雾~阴
2023-03-20,17,12,阴
2023-03-21,22,13,雾~小雨
2023-03-22,18,11,多云~小雨
2023-03-23,14,9,小雨
2023-03-24,18,9,雾~小雨
2023-03-25,21,10,多云~阴
2023-03-26,15,11,多云~小雨
2023-03-27,19,11,阴~小雨
2023-03-28,17,16,雾~阴
2023-03-29,23,12,雾~晴
2023-03-30,22,13,多云~阴
2023-03-31,24,14,雾~晴
2023-04-01,26,16,雾~阴
2023-04-02,24,15,雾~阴
2023-04-03,23,14,多云~阴
2023-04-04,26,13,多云~小雨
2023-04-05,17,8,多云~小雨
2023-04-06,21,8,多云~阴
2023-04-07,20,12,多云
2023-04-08,24,12,多云
2023-04-09,25,14,多云
2023-04-10,29,16,雾~小雨
2023-04-11,31,17,多云~小雨
2023-04-12,31,17,多云
2023-04-13,21,15,小雨
2023-04-14,28,14,多云
2023-04-15,33,17,多云~晴
2023-04-16,34,19,多云
2023-04-17,35,20,雾~小雨
2023-04-18,33,19,多云
2023-04-19,33,20,多云~小雨
2023-04-20,25,18,中雨
2023-04-21,18,15,小雨
2023-04-22,22,12,多云~阴
2023-04-23,19,11,多云~阴
2023-04-24,20,12,多云~小雨
2023-04-25,26,13,多云~阴
2023-04-26,28,13,多云~小雨
2023-04-27,28,15,多云~小雨
2023-04-28,19,11,小雨~阴
2023-04-29,27,13,多云
2023-04-30,29,15,多云~阴
2023-05-01,30,17,多云~小雨
2023-05-02,27,17,多云~小雨
2023-05-03,28,20,多云
2023-05-04,32,18,多云~小雨
2023-05-05,25,16,多云~小雨
2023-05-06,29,17,多云~小雨
2023-05-07,24,15,多云~小雨
2023-05-08,15,14,小雨
2023-05-09,16,14,小雨
2023-05-10,24,15,多云~阴
2023-05-11,26,16,阴
2023-05-12,29,16,多云
2023-05-13,30,15,多云~阴
2023-05-14,29,17,多云~阴
2023-05-15,28,17,多云
2023-05-16,32,18,多云
2023-05-17,30,20,多云~阴
2023-05-18,29,19,多云~阴
2023-05-19,29,20,雾~阴
2023-05-20,29,21,雾~小雨
2023-05-21,23,14,雾~小雨
2023-05-22,21,15,雾~阴
2023-05-23,26,15,雾~晴
2023-05-24,25,19,雾~阴
2023-05-25,26,19,多云~阴
2023-05-26,27,20,多云
2023-05-27,27,21,多云
2023-05-28,31,21,雾~多云
2023-05-29,34,21,多云~阴
2023-05-30,36,24,多云~阴
2023-05-31,35,22,小雨~阴
2023-06-01,28,20,多云~阴
2023-06-02,23,19,小雨~阵雨
2023-06-03,22,18,多云~阴
2023-06-04,24,18,小雨~阴
2023-06-05,30,19,多云
2023-06-06,32,21,多云~阴
2023-06-07,33,20,阴
2023-06-08,34,21,多云
2023-06-09,33,20,阴
2023-06-10,36,20,多云~阴
2023-06-11,34,21,多云~阴
2023-06-12,36,19,多云~阴
2023-06-13,33,21,多云~阴
2023-06-14,29,19,多云~阴
2023-06-15,23,19,多云~阴
2023-06-16,24,19,多云~阴
2023-06-17,27,21,雾~多云
2023-06-18,33,21,多云
2023-06-19,32,22,雾~阴
2023-06-20,32,20,多云~阵雨
2023-06-21,27,20,小雨~阴
2023-06-22,29,19,多云
2023-06-23,33,21,多云
2023-06-24,34,22,多云
2023-06-25,34,24,多云~晴
2023-06-26,36,25,多云
2023-06-27,33,23,小雨
2023-06-28,31,23,小雨
2023-06-29,30,20,阴
2023-06-30,31,21,多云
2023-07-01,33,24,多云~阵雨
2023-07-02,33,24,多云~阵雨
2023-07-03,26,20,小雨~阴
2023-07-04,32,20,多云
2023-07-05,35,22,晴~阴
2023-07-06,35,23,多云~阴
2023-07-07,30,24,多云
2023-07-08,37,25,多云
2023-07-09,37,26,多云
2023-07-10,37,26,多云~阵雨
2023-07-11,32,23,多云~大雨
2023-07-12,31,23,多云~暴雨
2023-07-13,23,20,大雨~阵雨
2023-07-14,33,21,阴~多云
2023-07-15,33,22,多云~晴
2023-07-16,36,23,多云~晴
2023-07-17,37,22,晴~阵雨
2023-07-18,36,22,阴~晴
2023-07-19,35,22,阴~多云
2023-07-20,32,24,阴~雷阵雨
2023-07-21,35,24,阴~晴
2023-07-22,37,24,多云
2023-07-23,37,25,阴~阵雨
2023-07-24,29,23,小雨~阵雨
2023-07-25,32,23,雾~阵雨
2023-07-26,28,22,小雨~阵雨
2023-07-27,24,21,小雨~阵雨
2023-07-28,33,22,阴~晴
2023-07-29,36,24,多云~晴
2023-07-30,37,23,阴~阵雨
2023-07-31,34,23,阴~阵雨
2023-08-01,33,23,小雨~阵雨
2023-08-02,31,23,中雨~阵雨
2023-08-03,30,23,雾~阵雨
2023-08-04,33,24,雾~阵雨
2023-08-05,34,23,雾~阵雨
2023-08-06,33,23,暴雨~阵雨
2023-08-07,33,23,多云~阵雨
2023-08-08,35,24,阴~阵雨
2023-08-09,34,24,阴~阵雨
2023-08-10,36,24,阴~中雨
2023-08-11,33,24,阴~暴雨
2023-08-12,31,23,小雨~多云
2023-08-13,36,23,多云~晴
2023-08-14,35,24,阴
2023-08-15,34,24,阴~阵雨
2023-08-16,32,25,阴
2023-08-17,34,24,阴
2023-08-18,31,24,阴
2023-08-19,28,24,阴~阵雨
2023-08-20,25,22,小雨~多云
2023-08-21,35,23,多云
2023-08-22,36,23,阴~阵雨
2023-08-23,32,22,阴~大雨
2023-08-24,26,20,中雨~大雨
2023-08-25,23,20,小雨~阵雨
2023-08-26,24,20,小雨到中雨
2023-08-27,32,19,阴
2023-08-28,30,22,阴
2023-08-29,26,20,中雨到大雨
2023-08-30,29,20,多云转晴
2023-08-31,29,20,多云转小雨
2023-09-01,26,19,小雨~多云
2023-09-02,32,20,多云~晴
2023-09-03,34,21,晴
2023-09-04,34,22,多云~晴
2023-09-05,34,23,多云
2023-09-06,31,23,阴~多云
2023-09-07,32,23,阴~多云
2023-09-08,33,23,阴~小雨
2023-09-09,33,23,多云~大雨
2023-09-10,33,23,大雨
2023-09-11,22,19,大雨~阵雨
2023-09-12,29,17,阴~多云
2023-09-13,31,20,阴~晴
2023-09-14,31,21,阴~多云
2023-09-15,29,22,阴~多云
2023-09-16,30,22,阴~多云
2023-09-17,27,21,阴~大雨
2023-09-18,26,21,小雨~阵雨
2023-09-19,27,21,阴~阵雨
2023-09-20,30,19,阴~阵雨
2023-09-21,30,18,多云~阴
2023-09-22,23,18,阴~阵雨
2023-09-23,23,18,阴~阵雨
2023-09-24,22,18,阴~阵雨
2023-09-25,23,18,阴
2023-09-26,22,18,阴~多云
2023-09-27,23,20,阴
2023-09-28,25,19,小雨~阴
2023-09-29,26,19,阴~多云
2023-09-30,26,20,阴
2023-10-01,22,19,小雨
2023-10-02,24,19,阴
2023-10-03,25,19,阴~小雨
2023-10-04,23,18,阴~小雨
2023-10-05,21,16,阴~小雨
2023-10-06,20,15,小雨
2023-10-07,25,17,阴~小雨
2023-10-08,20,16,小雨~阴
2023-10-09,20,15,小雨
2023-10-10,23,15,阴~小雨
2023-10-11,19,15,小雨
2023-10-12,19,15,阴
2023-10-13,23,14,阴~多云
2023-10-14,26,16,小雨~多云
2023-10-15,24,17,阴~多云
2023-10-16,22,17,阴~小雨
2023-10-17,22,18,多云~小雨
2023-10-18,19,14,雾~小雨
2023-10-19,19,13,阴~小雨
2023-10-20,19,12,阴
2023-10-21,24,13,多云~晴
2023-10-22,24,14,多云
2023-10-23,23,15,阴~多云
2023-10-24,23,15,阴
2023-10-25,22,18,阴~小雨
2023-10-26,20,15,小雨
2023-10-27,23,14,阴~多云
2023-10-28,22,14,多云~阴
2023-10-29,21,15,阴~多云
2023-10-30,23,16,阴
2023-10-31,21,15,阴~多云
2023-11-01,22,15,多云~小雨
2023-11-02,22,16,雾~阴
2023-11-03,21,13,雾~晴
2023-11-04,21,14,雾~多云
2023-11-05,25,11,雾~阴
2023-11-06,23,12,多云
2023-11-07,22,14,阴~多云
2023-11-08,20,14,雾~多云
2023-11-09,25,14,多云~阴
2023-11-10,22,15,阴~小雨
2023-11-11,19,11,雾~小雨
2023-11-12,10,8,小雨~多云
2023-11-13,13,8,阴
2023-11-14,12,10,雾~小雨
2023-11-15,16,6,阴~多云
2023-11-16,17,6,多云~阴
2023-11-17,17,6,雾~晴
2023-11-18,15,7,多云~阴
2023-11-19,18,8,多云~晴
2023-11-20,16,10,多云
2023-11-21,15,11,多云~阴
2023-11-22,21,10,雾~晴
2023-11-23,20,11,雾~多云
2023-11-24,15,11,多云~小雨
2023-11-25,17,7,多云
2023-11-26,22,8,晴~多云
2023-11-27,19,8,雾~多云
2023-11-28,19,10,多云
2023-11-29,17,10,雾~阴
2023-11-30,15,10,阴
2023-12-01,12,8,阴
2023-12-02,11,8,阴~多云
2023-12-03,15,7,雾~多云
2023-12-04,17,9,多云~阴
2023-12-05,12,6,雾~多云
2023-12-06,18,4,雾~晴
2023-12-07,15,8,多云~阴
2023-12-08,16,7,多云
2023-12-09,16,9,多云~阴
2023-12-10,14,10,多云~阴
2023-12-11,19,7,雾~多云
2023-12-12,17,6,阴~多云
2023-12-13,14,10,雾~多云
2023-12-14,16,6,多云~阴
2023-12-15,8,2,阴~多云
2023-12-16,4,1,阴~晴
2023-12-17,4,3,阴
2023-12-18,9,0,多云~晴
2023-12-19,10,1,晴
2023-12-20,9,4,阴
2023-12-21,10,3,多云
2023-12-22,9,1,多云
2023-12-23,9,0,多云~晴
2023-12-24,12,2,多云
2023-12-25,11,0,多云
2023-12-26,14,2,多云~晴
2023-12-27,14,4,多云~阴
2023-12-28,10,6,多云
2023-12-29,16,5,多云~晴
2023-12-30,13,4,多云~阴
2023-12-31,13,4,阴~多云
